OBJECTID,Transect,Elevation,UTM_X,UTM_Y,Date,Time
2062,C03T1,482,421120.455,4830182.86,4/17/2019,4:54:00
2063,C03T1,476,421127.5839,4830185.22,4/17/2019,4:59:00
2064,C03T1,469,421121.8828,4830187.619,4/17/2019,5:00:00
2065,C03T1,477,421119.9882,4830191.196,4/17/2019,5:01:00
2066,C03T1,470,421104.2201,4830174.72,4/17/2019,5:02:00
2067,C03T1,472.39,421104.3579,4830172.719,4/17/2019,5:02:00
2068,C03T1,472,421103.1516,4830173.067,4/17/2019,5:02:00
2069,C03T1,468,421095.5272,4830156.051,4/17/2019,5:03:00
2070,C03T1,477,421095.0261,4830154.613,4/17/2019,5:04:00
2071,C03T1,476,421094.7527,4830151.95,4/17/2019,5:05:00
2072,C03T1,472,421096.7061,4830153.371,4/17/2019,5:08:00
2073,C03T1,475,421092.5663,4830151.309,4/17/2019,5:09:00
2074,C03T1,479,421093.0308,4830149.638,4/17/2019,5:10:00
2075,C03T1,467,421093.2027,4830150.524,4/17/2019,5:11:00
2076,C03T1,471,421091.8088,4830148.652,4/17/2019,5:12:00
2077,C03T1,481,421107.4094,4830123.476,4/17/2019,5:13:00
2078,C03T1,478,421107.8199,4830110.365,4/17/2019,5:14:00
2079,C03T1,484,421107.9635,4830095.145,4/17/2019,5:15:00
2080,C03T1,479,421109.0861,4830087.69,4/17/2019,5:16:00
2081,C03T1,484,421110.3506,4830078.567,4/17/2019,5:17:00
2082,C03T1,482.91,421113.6531,4830071.197,4/17/2019,5:18:00
2083,C03T1,483,421112.5405,4830072.654,4/17/2019,5:18:00
2084,C03T1,484,421109.0441,4830056.7,4/17/2019,5:18:00
2085,C03T1,485,421115.7458,4830050.179,4/17/2019,5:19:00
2086,C03T1,487,421120.5451,4830046.568,4/17/2019,5:20:00
2087,C03T1,489,421126.1954,4830039.837,4/17/2019,5:21:00
2088,C03T1,493,421122.2436,4830026.332,4/17/2019,5:22:00
2089,C03T1,495,421133.9506,4830019.974,4/17/2019,5:23:00
2090,C03T1,500,421109.8628,4830037.141,4/17/2019,5:24:00
2091,C03T1,502,421099.5076,4830034.93,4/17/2019,5:25:00
2092,C03T1,496,421093.5221,4830026.892,4/17/2019,5:26:00
2093,C03T1,500,421071.4303,4829994.274,4/17/2019,5:27:00
2094,C03T1,501.88,421067.5918,4829983.545,4/17/2019,5:28:00
2095,C03T1,501,421066.474,4829984.557,4/17/2019,5:28:00
2096,C03T1,498,421062.5086,4829983.604,4/17/2019,5:28:00
2097,C03T1,500,421055.4296,4829971.803,4/17/2019,5:29:00
2098,C03T1,501,421049.3759,4829957.989,4/17/2019,5:30:00
2099,C03T1,503,421044.3724,4829944.275,4/17/2019,5:31:00
2100,C03T1,497,421045.5801,4829944.038,4/17/2019,5:32:00
